document_id,title,status,effective_from,last_known_modification,source_url,canonical_url,final_url,snapshot_date,retrieved_at,format,language,http_status,content_type,bytes,sha256,file,notes
tec-rrea-2025,Reglamento del Régimen Enseñanza-Aprendizaje del Instituto Tecnológico de Costa Rica,vigente_en_sitio_oficial,2025-01-01,2025-08,https://www.tec.ac.cr/reglamento-regimen-ensenanza-aprendizaje-instituto-tecnologico-costa-rica,https://www.tec.ac.cr/reglamento-regimen-ensenanza-aprendizaje-instituto-tecnologico-costa-rica,https://www.tec.ac.cr/reglamento-regimen-ensenanza-aprendizaje-instituto-tecnologico-costa-rica,2026-07-23,2026-07-23T12:21:20-06:00,html,es,200,text/html,335075,72bdbf0a062831478d015fdb5866c29cdd2ad2d42e43451eb6de83402b1af6d3,data/raw/tec/2026-07-23/tec-rrea-2025.html,La página oficial indica vigencia desde enero de 2025 y última modificación en agosto de 2025.
tec-becas-prestamos,Reglamento de Becas y Préstamos Estudiantiles del Instituto Tecnológico de Costa Rica y sus Reformas,vigente_en_sitio_oficial,,2022-11,https://www.tec.ac.cr/reglamento-becas-prestamos-estudiantiles-instituto-tecnologico-costa-rica-sus-reformas,https://www.tec.ac.cr/reglamento-becas-prestamos-estudiantiles-instituto-tecnologico-costa-rica-sus-reformas,https://www.tec.ac.cr/reglamento-becas-prestamos-estudiantiles-instituto-tecnologico-costa-rica-sus-reformas,2026-07-23,2026-07-23T12:21:20-06:00,html,es,200,text/html,205926,ed039f4843f5d034248a178cac25f11511a7f006872e223a38e260b2d5d1e7d7,data/raw/tec/2026-07-23/tec-becas-prestamos.html,La página no informa una fecha única de entrada en vigencia; el texto contiene reformas y transitorios con fechas propias.
tec-equiparacion-asignaturas,Reglamento de Equiparación de Asignaturas del Instituto Tecnológico de Costa Rica,vigente_en_sitio_oficial,2023-03,2026-04,https://www.tec.ac.cr/reglamento-equiparacion-asignaturas-instituto-tecnologico-costa-rica,https://www.tec.ac.cr/reglamento-equiparacion-asignaturas-instituto-tecnologico-costa-rica,https://www.tec.ac.cr/reglamento-equiparacion-asignaturas-instituto-tecnologico-costa-rica,2026-07-23,2026-07-23T12:21:20-06:00,html,es,200,text/html,141887,58515199b01319136fae6068469dc694c907deac66417df3c0aa6d65874d2c29,data/raw/tec/2026-07-23/tec-equiparacion-asignaturas.html,La página oficial registra entrada en vigencia en marzo de 2023 y última modificación en abril de 2026.
tec-residencias-estudiantiles,Reglamento para el Funcionamiento del Programa de Residencias Estudiantiles del Instituto Tecnológico de Costa Rica,vigente_en_sitio_oficial,2009-05,2023-03,https://www.tec.ac.cr/reglamento-funcionamiento-programa-residencias-estudiantiles-instituto-tecnologico-costa-rica,https://www.tec.ac.cr/reglamento-funcionamiento-programa-residencias-estudiantiles-instituto-tecnologico-costa-rica,https://www.tec.ac.cr/reglamento-funcionamiento-programa-residencias-estudiantiles-instituto-tecnologico-costa-rica,2026-07-23,2026-07-23T12:21:20-06:00,html,es,200,text/html,183765,ded0c932dd73a1fdae328640b16359d91c627204e4b5fab10159c25717e96fa7,data/raw/tec/2026-07-23/tec-residencias-estudiantiles.html,Se seleccionó la página actual; la versión antigua del Sistema de Alojamiento está identificada como derogada.
tec-defensoria-estudiantil,Reglamento de la Defensoría Estudiantil,vigente_en_sitio_oficial,2023-05-26,2025-07,https://www.tec.ac.cr/reglamento-funcionamiento-defensoria-estudiantil,https://www.tec.ac.cr/reglamento-funcionamiento-defensoria-estudiantil,https://www.tec.ac.cr/reglamento-funcionamiento-defensoria-estudiantil,2026-07-23,2026-07-23T12:21:20-06:00,html,es,200,text/html,131339,fde4828367d4eb414c24f00da8a3cd12736d9827645db87c6c625fd64d319a9c,data/raw/tec/2026-07-23/tec-defensoria-estudiantil.html,La página oficial registra creación en mayo de 2023 y última modificación en julio de 2025.
